SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,来源,Swelling Ratio (times),Young's Modulus
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[*]CC([*])Cl,,7.105510184769974,10.1557_jmr.2019.79_part_1.txt_段1_Material1,,12750000.000000007
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[*]OCC[*],,6.373095987078727,10.1002_app.48377_part_2.txt_段1_Material1,,2361000.000000002
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]C(C)C[*],,6.079181246047625,10.1002_mawe.201500396_part_1.txt_段1_Material1,,1200000.0000000007
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CC(C1=CC=CC=C1)[*],,5.124830149413859,10.1016_j.polymer.2015.03.026_part_3.txt_段1_Material1,,133300.00000000003
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,6.486146996806573,10.1002_app.48888_part_3.txt_段1_Material1,,3063000.0000000023
[*]CC([*])Cl,[*]CC(C1=CC=CC=C1)[*],,5.187520720836463,10.1016_j.cej.2016.03.060_part_2.txt_段1_Material3,,153999.99999999985
[*]CC([*])Cl,[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,6.432327792261604,10.1002_vnl.20326_part_2.txt_段1_Material1,,2705999.9999999977
[*]CC=CCCC(C1=CC=CC=C1)[*],C/C(C[*])=C/C[*],,3.869231719730976,10.5254_rct.18.82695_part_2.txt_段1_Material1,,7399.999999999994
[*]CC=CCCC(C1=CC=CC=C1)[*],[*]CC=CCCC(C#N)[*],,2.903089986991944,10.1007_s00289-021-03576-2_part_3.txt_段1_Material1,,800.0000000000011
[*]CC=CCCC(C1=CC=CC=C1)[*],[*]OCC[*],,4.167317334748176,10.1002_app.34120_part_3.txt_段1_Material1,,14699.999999999982
[*]CCC(CCCCCC)C[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,6.230448921378274,10.3390_polym10030291_part_2.txt_段1_Material3,,1700000.0000000007
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[*]CC=CCCC(C1=CC=CC=C1)[*],,5.0,10.1515_ract-2019-3112_part_1.txt_段1_Material1,,100000.0
[*]CCN[*],[*]CC(C1=CC=CC=C1)[*],,6.278753600952829,10.1002_pc.21196_part_1.txt_段1_Material1,,1899999.9999999995
[*]CC[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,6.0,10.1080_03602559.2013.820758_part_1.txt_段1_Material1,,1000000.0
[*]CC[*],[*]CC(C1=CC=CC=C1)[*],,5.599883072073688,10.1177_0731684411426626_part_1.txt_段1_Material1,,397999.9999999998
[*]CC[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,5.812913356642856,10.1002_pc.24096_part_2.txt_段1_Material1,,650000.0000000001
[*]NC(C(O)=O)CCC([*])=O,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,5.903089986991944,10.1039_d0gc01394c_part_7.txt_段1_Material3,,800000.0000000003
[*]NC(C(O)=O)CCC([*])=O,[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],,5.845098040014257,10.1021_ma201974g_part_1.txt_段1_Material1,,700000.0000000001
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,6.176091259055681,10.1177_0885328215626047_part_2.txt_段1_Material1,,1500000.0000000005
[*]OC1=C(C([*])=CC=C1C)C,[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,5.433321711630784,10.1016_j.ijhydene.2021.03.173_part_2.txt_段1_Material1,,271219.99999999994
[*]OCC[*],[*]CC(C1=CC=CC=C1)[*],,5.0,10.1021_acs.macromol.7b00789_part_1.txt_段1_Material1,,100000.0
[*]OCC[*],[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,6.204119982655925,10.1021_acs.biomac.8b01715_part_2.txt_段1_Material1,,1600000.000000001
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,C/C(C[*])=C/C[*],,4.57978359661681,10.3390_molecules25010235_part_1.txt_段1_Material1,,38000.0
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,,6.57978359661681,10.1177_0021998317743563_part_2.txt_段1_Material1,,3800000.0
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,7.19942604159399,10.1007_s40034-013-0019-4_part_1.txt_段1_Material1,,15828000.00000001
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,O=C(N)C([*])C[*],,4.0,10.1016_j.actbio.2021.02.018_part_3.txt_段1_Material2,,10000.0
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,O=C([*])C(C)O[*],,6.32221929473392,10.1016_j.msec.2019.109890_part_1.txt_段1_Material1,,2100000.0000000056
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]C(C(OC(CO[*])=O)C)=O,,5.205096047578484,10.1002_mame.201700666_part_1.txt_段1_Material1,,160360.00000000015
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]C(C)C(OCC(O[*])=O)=O,,6.531478917042255,10.1155_2019_8050413_part_2.txt_段1_Material4,,3400000.000000002
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]C(CCCCCO[*])=O,,6.079181246047625,10.1177_155892501701200303_part_3.txt_段1_Material2,,1200000.0000000007
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,,5.491361693834273,10.1007_s12221-019-1188-7_part_1.txt_段1_Material1,,310000.0000000003
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]CC([*])Cl,,4.892372907398436,10.1039_c6tb01055e_part_2.txt_段1_Material1,,78050.0
